survey,count
0,1860203
1,1889722
2,1963670
3,2038441
4,2125378
5,2227890
6,2415434
7,2481405
8,2574160
9,2709171
10,2745009
11,2805052
12,2867718
13,2940442
14,2983671
15,3047054
16,3055313
17,3183312
18,3267933
19,3328378
20,3387907
21,3442885
22,3485994
23,3512018
24,3560691
25,3615935
26,3704010
27,3770517
28,3814055
29,3875787
30,4024885
31,3959351
32,4002980
33,4041816
34,4127164
35,4191066
36,4223498
37,4275153
38,4296871
39,4403857
40,4460725
41,4488207
42,4527940
43,4562649
44,4589617
45,4642260
46,4700395
47,4722635
48,4748466
49,4753031
50,4791434
51,4824261
52,4866361
53,4891692
54,4879325
55,4899161
56,4932040
57,4944172
58,4983192
59,4975257
60,5012051
61,5019076
62,4990657
63,5000316
64,4984074
65,4960997
66,4964669
67,4960408
68,4943804
69,4949327
70,4953091
71,4966663
72,4983512
73,5003148
74,4993798
75,5014486
76,5033229
77,5027004
78,5043877
79,5034825
80,5048931
81,5087781
82,5065901
83,5085238
84,5091179
